,country,region
409,Morocco,Rabat-Salé-Kénitra
410,Morocco,Tanger-Tetouan-Al Hoceima
411,Mozambique,Gaza
412,Myanmar,Mandalay
413,Myanmar,Yangon
414,Nepal,Bagmati Pradesh
415,Nepal,Gandaki Pradesh
416,Nepal,Province No. 1
417,Nepal,Province No. 2
418,Nepal,Province No. 5
419,Netherlands,Drenthe
420,Netherlands,Friesland
421,Netherlands,Gelderland
422,Netherlands,Groningen
423,Netherlands,Limburg
424,Netherlands,Noord-Brabant
425,Netherlands,Noord-Holland
426,Netherlands,Overijssel
427,Netherlands,Utrecht
428,Netherlands,Zuid-Holland
429,New Zealand,Auckland
430,New Zealand,Canterbury
431,New Zealand,Waikato
432,New Zealand,Wellington
433,Nicaragua,León
434,Nicaragua,Managua
435,Nigeria,Federal Capital Territory
436,Nigeria,Lagos
437,Norway,Innlandet
438,Norway,Oslo
439,Norway,Rogaland
440,Norway,Trøndelag
441,Norway,Vestfold og Telemark
442,Norway,Vestland
443,Norway,Viken
444,Pakistan,ICT (Islamabad Capital Territory)
445,Pakistan,KPK (Khyber Pakhtunkhwa)
446,Pakistan,PB (Punjab)
447,Pakistan,SD (Sindh)
448,Palestine,Gaza
449,Palestine,West Bank
450,Panama,Panamá
451,Panama,Panamá Oeste
452,Paraguay,Asunción
453,Paraguay,Central
454,Peru,Ancash
455,Peru,Arequipa
456,Peru,Cajamarca
457,Peru,Callao
458,Peru,Cusco
459,Peru,Ica
460,Peru,Junín
461,Peru,La Libertad
462,Peru,Lambayeque
463,Peru,Lima
464,Peru,Piura
465,Peru,San Martín
466,Philippines,Bicol Region
467,Philippines,Calabarzon
468,Philippines,Central Luzon
469,Philippines,Central Visayas
470,Philippines,Davao Region
471,Philippines,National Capital Region
472,Philippines,Northern Mindanao
473,Philippines,Western Visayas
474,Poland,Dolnośląskie
475,Poland,Kujawsko-Pomorskie
476,Poland,Łódzkie
477,Poland,Lubelskie
478,Poland,Lubuskie
479,Poland,Małopolskie
480,Poland,Mazowieckie
481,Poland,Podkarpackie
482,Poland,Pomorskie
483,Poland,Śląskie
484,Poland,Warmińsko-Mazurskie
485,Poland,Wielkopolskie
486,Poland,Zachodniopomorskie
487,Portugal,Aveiro
488,Portugal,Braga
489,Portugal,Coimbra
490,Portugal,Faro
491,Portugal,Leiria
492,Portugal,Lisboa
493,Portugal,Porto
494,Portugal,Santarém
495,Portugal,Setúbal
496,"Puerto Rico, U.S.",San Juan
497,Qatar,Al Doha
498,Romania,Arad
499,Romania,Argeș
500,Romania,Bacău
501,Romania,Bihor
502,Romania,Brașov
503,Romania,Bucharest
504,Romania,Cluj
505,Romania,Constanța
506,Romania,Dolj
507,Romania,Galați
508,Romania,Iași
509,Romania,Maramureș
510,Romania,Mureș
511,Romania,Prahova
512,Romania,Sibiu
513,Romania,Suceava
514,Romania,Timiș
515,Russia,Moscow
516,Russia,Moscow Oblast
517,Russia,Saint Petersburg
518,Saudi Arabia,Ar Riyad
519,Saudi Arabia,Ash Sharqiyah
520,Saudi Arabia,Makkah
521,Serbia,Grad Beograd
522,Singapore,Central
523,Singapore,East
524,Singapore,West
525,Slovakia,Bratislavský
526,Slovakia,Košický
527,Slovakia,Nitriansky
528,Slovenia,Osrednjeslovenska
529,South Africa,Eastern Cape
530,South Africa,Free State
531,South Africa,Gauteng
532,South Africa,KwaZulu-Natal
533,South Africa,Limpopo
534,South Africa,Mpumalanga
535,South Africa,North West
536,South Africa,Western Cape
537,South Korea,Gyeonggi-do
538,South Korea,Incheon
539,South Korea,Seoul
540,Spain,Andalucía
541,Spain,Aragón
542,Spain,Cantabria
543,Spain,Castilla-La Mancha
544,Spain,Castilla y León
545,Spain,Cataluña
546,Spain,Comunidad de Madrid
547,Spain,Comunidad Valenciana
548,Spain,Extremadura
549,Spain,Galicia
550,Spain,Islas Baleares
551,Spain,Islas Canarias
552,Spain,País Vasco
553,Spain,Principado de Asturias
554,Spain,Región de Murcia
555,Sri Lanka,Colombo
556,Sudan,Khartoum
557,Sweden,Dalarna
558,Sweden,Gävleborg
559,Sweden,Halland
560,Sweden,Jönköping
561,Sweden,Kalmar
562,Sweden,Norrbotten
563,Sweden,Orebro
564,Sweden,Östergötland
565,Sweden,Skåne
566,Sweden,Södermanland
567,Sweden,Stockholm
568,Sweden,Uppsala
569,Sweden,Värmland
570,Sweden,Västerbotten
571,Sweden,Västernorrland
572,Sweden,Västmanland
573,Sweden,Västra Götaland
574,Switzerland,Bern
575,Switzerland,Vaud
576,Switzerland,Zürich
577,Taiwan,Changhua County
578,Taiwan,Hsinchu City
579,Taiwan,Hsinchu County
580,Taiwan,Kaohsiung City
581,Taiwan,New Taipei City
582,Taiwan,Taichung City
583,Taiwan,Tainan City
584,Taiwan,Taipei City
585,Taiwan,Taoyuan City
586,Thailand,Bangkok Metropolis
587,Thailand,Chiang Mai
588,Thailand,Chon Buri
589,Thailand,Nakhon Ratchasima
590,Thailand,Nonthaburi
591,Thailand,Pathum Thani
592,Thailand,Samut Prakan
593,Thailand,Songkhla
594,Tunisia,Tunis
595,Turkey,Adana
596,Turkey,Ankara
597,Turkey,Antalya
598,Turkey,Bursa
599,Turkey,Gaziantep
600,Turkey,Istanbul
601,Turkey,Izmir
602,Turkey,Kocaeli
603,Turkey,Konya
604,Turkey,Mersin
605,Ukraine,Cherkasy
606,Ukraine,Chernihiv
607,Ukraine,Dnipropetrovs'k
608,Ukraine,Donets'k
609,Ukraine,Kharkiv
610,Ukraine,Kherson
611,Ukraine,Kiev
612,Ukraine,Kiev City
613,Ukraine,Kirovohrad
614,Ukraine,L'viv
615,Ukraine,Mykolayiv
616,Ukraine,Odessa
617,Ukraine,Poltava
618,Ukraine,Sumy
619,Ukraine,Vinnytsya
620,Ukraine,Zaporizhzhya
621,United Arab Emirates,Abu Dhabi
622,United Arab Emirates,Dubai
623,United Arab Emirates,Sharjah
624,United Kingdom,East Anglia
625,United Kingdom,East Midlands
626,United Kingdom,Greater London
627,United Kingdom,North East
628,United Kingdom,Northern Ireland
629,United Kingdom,North West
630,United Kingdom,Scotland
631,United Kingdom,South East
632,United Kingdom,South West
633,United Kingdom,Wales
634,United Kingdom,West Midlands
635,United Kingdom,Yorkshire and the Humber
636,Uruguay,Canelones
637,Uruguay,Montevideo
638,Uzbekistan,Tashkent
639,Venezuela,Aragua
640,Venezuela,Carabobo
641,Venezuela,Distrito Capital
642,Venezuela,Miranda
643,Venezuela,Zulia
644,Vietnam,Bắc Ninh
645,Vietnam,Bình Dương
646,Vietnam,Cần Thơ
647,Vietnam,Đắk Lắk
648,Vietnam,Đà Nẵng
649,Vietnam,Đồng Nai
650,Vietnam,Hải Phòng
651,Vietnam,Hà Nội
652,Vietnam,Khánh Hòa
653,Vietnam,Lâm Đồng
654,Vietnam,Nghệ An
655,Vietnam,Quảng Nam
656,Vietnam,Thanh Hóa
657,Vietnam,Thành phố Hồ Chí Minh
658,Yemen,Sana'a
0,United States,OH
1,United States,MA
2,United States,NY
3,United States,KS
4,United States,UT
5,United States,AK
6,United States,LA
7,United States,WA
8,United States,VT
9,United States,CT
10,United States,FL
11,United States,AR
12,United States,NH
13,United States,ID
14,United States,IL
15,United States,PA
16,United States,VA
17,United States,NE
18,United States,MT
19,United States,NC
20,United States,ND
21,United States,OK
22,United States,CA
23,United States,HI
24,United States,SC
25,United States,SD
26,United States,IA
27,United States,WI
28,United States,DE
29,United States,TX
30,United States,AZ
31,United States,MD
32,United States,NJ
33,United States,MO
34,United States,MI
35,United States,NM
36,United States,CO
37,United States,IN
38,United States,NV
39,United States,MN
40,United States,RI
41,United States,GA
42,United States,WV
43,United States,OR
44,United States,AL
45,United States,ME
46,United States,PR
47,United States,TN
48,United States,MS
49,United States,WY
50,United States,DC
51,United States,KY
